"date","type","price","kamar_tidur","luas_tanah","luas_bangunan","sertifikasi"
"2024-12-06","Rumah Second",7.9728107841214,2,-0.679083451634631,-0.0896609905222157,"SHM"
"2024-12-06","Rumah Second",6.51619307604296,2,-0.812543735181701,-0.311473411932511,"SHM"
"2024-12-06","Rumah Second",7.82444593087762,4,-0.521763772924545,-0.153035968068015,"HGB"
"2024-12-06","Rumah Second",7.9728107841214,3,-0.679083451634631,-0.0896609905222157,"SHM"
"2024-12-06","Rumah Second",9.69282824771042,4,0.378618522659557,0.575776273708672,"SHM"
"2024-12-06","Rumah Second",7.31388683163346,2,-0.799647623351799,-0.273448425405032,"HGB"
"2024-12-06","Rumah Second",7.9728107841214,3,-0.592113557275422,-0.194229703472784,"SHM"
"2024-12-06","Rumah Second",6.16541785423142,3,-0.812543735181701,-0.311473411932511,"SHM"
"2024-12-06","Rumah Second",8.61268517287546,6,0.213923680556074,0.306432619139027,"SHM"
"2024-12-06","Rumah Second",7.90137735379262,5,-0.166187489044255,-0.073817246135766,"SHM"
"2024-12-06","Rumah Second",6.90875477931522,3,-0.634653331960626,-0.295629667546062,"SHM"
"2024-12-06","Rumah Second",6.16541785423142,3,-0.812543735181701,-0.311473411932511,"SHM"
"2024-12-06","Rumah Second",9.39274525863144,5,0.558607832626117,0.0228295946215772,"SHM"
"2024-12-06","Rumah Second",9.69282824771042,5,0.676557834965568,0.296926372507157,"SHM"
"2024-12-06","Rumah Second",7.82444593087762,4,-0.531515778078023,-0.232254690000263,"SHM"
"2024-12-06","Rumah Second",8.64839687703158,4,-0.183335411691441,-0.168879712454464,""
"2024-12-06","Rumah Second",7.43897159239586,4,-0.35253795692235,-0.216410945613813,"SHM"
"2024-12-06","Rumah Second",8.16080392095467,13,-0.255028177254105,-0.121348479295115,"HGB"
"2024-12-06","Rumah Second",7.90137735379262,5,-0.166187489044255,-0.073817246135766,"SHM"
"2024-12-06","Rumah Second",8.63070043220983,7,0.259376996683135,0.361885724491601,"SHM"
"2024-12-06","Rumah Second",6.88346258641309,4,-0.465168291290434,-0.265526553211807,""
"2024-12-06","Rumah Second",7.49609734517596,3,-0.634653331960626,-0.279785923159612,"SHM"
"2024-12-06","Rumah Second",8.26898820950666,3,-0.377426455514348,-0.0151953919059021,""
"2024-12-06","Rumah Second",8.16080392095467,5,-0.576616391047163,-0.0262860129764169,"SHM"
"2024-12-06","Rumah Second",8.69968140098951,5,0.283522810017842,-0.121348479295115,"SHM"
"2024-12-06","Rumah Second",8.1318247850072,5,-0.58692110474515,-0.0262860129764169,"SHM"
"2024-12-06","Rumah Second",7.24494154633701,4,-0.634653331960626,-0.306720288616577,""
"2024-12-06","Rumah Second",9.69282824771042,5,0.294308361436636,0.206617029504394,"SHM"
"2024-12-06","Rumah Second",8.8394216076206,6,0.536961520821353,0.14799517527453,"SHM"
"2024-12-06","Rumah Second",8.18896686364888,5,0.00525769392231735,-0.0579735017493163,"SHM"
"2024-12-06","Rumah Second",8.34307787116938,3,0.0690641013647835,-0.159373465822594,""
"2024-12-06","Rumah Second",8.10198073185319,4,-0.214962750772811,-0.121348479295115,"SHM"
"2024-12-06","Rumah Second",8.34307787116938,3,0.0690641013647835,-0.159373465822594,"HGB"
"2024-12-06","Rumah Second",7.49609734517596,4,-0.304545570931015,-0.216410945613813,"SHM"
"2024-12-06","Rumah Second",8.18896686364888,6,-0.183335411691441,-0.105504734908665,"SHM"
"2024-12-06","Rumah Second",7.37838371299671,4,-0.373235117652468,0.0529327089558316,"SHM"
"2024-12-06","Rumah Second",7.82444593087762,3,-0.173011412671271,-0.0928297393995056,"SHM"
"2024-12-06","Rumah Second",7.37838371299671,3,-0.31238605329452,-0.208489073420588,"SHM"
"2024-12-06","Rumah Second",7.37838371299671,3,-0.634653331960626,-0.184723456840914,"SHM"
"2024-12-06","Rumah Second",6.68586094706836,3,-0.69050642585117,-0.216410945613813,"SHM"
"2024-12-06","Rumah Second",7.24494154633701,3,-0.561355726534552,-0.241760936632133,"SHM"
"2024-12-06","Rumah Second",7.37838371299671,3,-0.48367982661902,-0.176801584647689,"SHM"
"2024-12-06","Rumah Second",8.18896686364888,4,0.00525769392231735,-0.0579735017493163,"SHM"
"2024-12-06","Rumah Second",7.90137735379262,3,-0.602580053802682,-0.0896609905222157,"SHM"
"2024-12-06","Rumah Second",8.16080392095467,3,-0.255028177254105,-0.121348479295115,"HGB"
"2024-12-06","Rumah Second",7.37838371299671,4,-0.373235117652468,0.0529327089558316,""
"2024-12-06","Rumah Second",7.90137735379262,4,-0.31238605329452,-0.0262860129764169,"SHM"
"2024-12-06","Rumah Second",6.11146733950268,2,-0.812543735181701,-0.343160900705411,"SHM"
"2024-12-06","Rumah Second",7.43897159239586,3,-0.634653331960626,-0.287707795352837,"SHM"
"2024-12-06","Rumah Second",7.69666708152646,3,-0.23661739468127,-0.0104422685899672,"HGB"
"2024-12-06","Rumah Second",8.41205487329293,4,0.146604755616747,-0.0104422685899672,"SHM"
"2024-12-06","Rumah Second",8.5173931714189,9,0.497477354136766,0.575776273708672,"SHM"
"2024-12-06","Rumah Second",7.90137735379262,4,-0.23661739468127,-0.121348479295115,"SHM"
"2024-12-06","Rumah Second",7.37838371299671,3,-0.23661739468127,-0.121348479295115,"SHM"
"2024-12-06","Rumah Second",7.93773177526011,4,-0.273784284374,-0.205320324543299,"SHM"
"2024-12-06","Rumah Second",7.60140233458373,6,-0.166187489044255,-0.121348479295115,"HGB"
"2024-12-06","Rumah Second",7.82444593087762,3,-0.23661739468127,-0.14511409587479,""
