type;price;loc;kamar_tidur;luas_tanah;luas_bangunan;sertifikasi
Rumah Second;Rp785 Jt;Gamping, Kab. Sleman;3 KT;LT 112m²;LB 75m²;SHM
Rumah Second;Rp1,6 M;Ngaglik, Kab. Sleman;3 KT;LT 88m²;LB 120m²;SHM
Rumah Second;Rp839 Jt;Gamping, Kab. Sleman;2 KT;LT 91m²;LB 45m²;SHM
Rumah Second;Rp1,4 M;Ngaglik, Kab. Sleman;3 KT;LT 104m²;LB 120m²;SHM
Rumah Second;Rp585 Jt;Bantul, Kab. Bantul;3 KT;LT 126m²;LB 75m²;SHM
Rumah Second;Rp785 Jt;Seyegan, Kab. Sleman;3 KT;LT 108m²;LB 60m²;SHM
Rumah Second;Rp4,5 M;Ngaglik, Kab. Sleman;6 KT;LT 319m²;LB 405m²;SHM
Rumah Second;Rp650 Jt;Kalasan, Kab. Sleman;3 KT;LT 121m²;LB 85m²;SHM
Rumah Second;Rp495 Jt;Jetis, Kota Yogyakarta;2 KT;LT 112m²;LB 36m²;SHM
Rumah Second;Rp2,3 M;Sewon, Kab. Bantul;5 KT;LT 120m²;LB 150m²;SHM
Rumah Second;Rp1,2 M;Banguntapan, Kab. Bantul;4 KT;LT 105m²;LB 95m²;SHM
Rumah Second;Rp541,5 Jt;Mlati, Kab. Sleman;2 KT;LT 120m²;LB 36m²;SHM
Rumah Second;Rp1,6 M;Gamping, Kab. Sleman;4 KT;LT 110m²;LB 90m²;SHM
Rumah Second;Rp585 Jt;Ngaglik, Kab. Sleman;2 KT;LT 83m²;LB 50m²;HGB
Rumah Second;Rp765 Jt;Seyegan, Kab. Sleman;2 KT;LT 108m²;LB 50m²;SHM
Rumah Second;Rp3,3 M;Gedongtengen (Gedong Tengen), Kota Yogyakarta;3 KT;LT 166m²;LB 135m²;HGB
Rumah Second;Rp4,4 M;Gedongtengen (Gedong Tengen), Kota Yogyakarta;3 KT;LT 260m²;LB 142m²;HGB
Rumah Second;Rp2,1 M;Gondokusuman, Kota Yogyakarta;3 KT;LT 111m²;LB 107m²;HGB
Rumah Second;Rp450 Jt;Mergangsan, Kota Yogyakarta;4 KT;LT 91m²;LB 91m²;SHM
Rumah Second;Rp520 Jt;Bantul, Kab. Bantul;3 KT;LT 107m²;LB 75m²;SHM
Rumah Second;Rp570 Jt;Ngemplak, Kab. Sleman;2 KT;LT 70m²;LB 40m²;SHM
Rumah Second;Rp395 Jt;Kalasan, Kab. Sleman;2 KT;LT 94m²;LB 50m²;SHM
Rumah Second;Rp650 Jt;Sleman, Kab. Sleman;2 KT;LT 100m²;LB 45m²;SHM
Rumah Second;Rp1,4 M;Ngaglik, Kab. Sleman;4 KT;LT 104m²;LB 136m²;SHM
Rumah Second;Rp800 Jt;Jetis, Kota Yogyakarta;3 KT;LT 123m²;LB 73m²;SHM
Rumah Second;Rp1,4 M;Ngaglik, Kab. Sleman;3 KT;LT 138m²;LB 83m²;SHM
Rumah Second;Rp623 Jt;Depok, Kab. Sleman;3 KT;LT 91m²;LB 60m²;SHM
Rumah Second;Rp350 Jt;Moyudan, Kab. Sleman;2 KT;LT 106m²;LB 50m²;SHM
Rumah Second;Rp199 Jt;Kalasan, Kab. Sleman;2 KT;LT 64m²;LB 26m²;SHM
Rumah Second;Rp895 Jt;Ngaglik, Kab. Sleman;2 KT;LT 84m²;LB 48m²;SHM
Rumah Second;Rp2,5 M;Ngaglik, Kab. Sleman;6 KT;LT 210m²;LB 240m²;SHM
Rumah Second;Rp395 Jt;Gamping, Kab. Sleman;2 KT;LT 80m²;LB 45m²;SHM
Rumah Second;Rp199 Jt;Prambanan, Kab. Sleman;2 KT;LT 64m²;LB 26m²;SHM
Rumah Second;Rp750 Jt;Mlati, Kab. Sleman;3 KT;LT 130m²;LB 60m²;SHM
Rumah Second;Rp750 Jt;Mlati, Kab. Sleman;3 KT;LT 109m²;LB 70m²;HGB
Rumah Second;Rp2,3 M;Ngaglik, Kab. Sleman;4 KT;LT 123m²;LB 145m²;SHM
Rumah Second;Rp798,9 Jt;Ngemplak, Kab. Sleman;3 KT;LT 126m²;LB 90m²;SHM
Rumah Second;Rp175 Jt;Wonosari, Kab. Gunung Kidul;2 KT;LT 60m²;LB 36m²;HGB
Rumah Second;Rp550 Jt;Kalasan, Kab. Sleman;2 KT;LT 88m²;LB 45m²;SHM
Rumah Second;Rp1,8 M;Ngaglik, Kab. Sleman;3 KT;LT 121m²;LB 100m²;SHM
Rumah Second;Rp598 Jt;Mlati, Kab. Sleman;2 KT;LT 102m²;LB 50m²;SHM
Rumah Second;Rp750 Jt;Sleman, Kab. Sleman;3 KT;LT 120m²;LB 60m²;SHM
Rumah Second;Rp625 Jt;Banguntapan, Kab. Bantul;2 KT;LT 101m²;LB 45m²;SHM
Rumah Second;Rp480 Jt;Berbah, Kab. Sleman;2 KT;LT 140m²;LB 50m²;SHM
Rumah Second;Rp2,5 M;Kretek, Kab. Bantul;8 KT;LT 256m²;LB 350m²;SHM
Rumah Second;Rp3 M;Ngaglik, Kab. Sleman;7 KT;LT 225m²;LB 400m²;SHM
Rumah Second;Rp625 Jt;Kalasan, Kab. Sleman;3 KT;LT 91m²;LB 60m²;SHM
Rumah Second;Rp1,6 M;Kalasan, Kab. Sleman;3 KT;LT 113m²;LB 125m²;SHM
Rumah Second;Rp550 Jt;Kalasan, Kab. Sleman;3 KT;LT 101m²;LB 80m²;SHM
Rumah Second;Rp350 Jt;Sedayu, Kab. Bantul;2 KT;LT 88m²;LB 45m²;SHM
Rumah Second;Rp535 Jt;Depok, Kab. Sleman;2 KT;LT 80m²;LB 50m²;SHM
Rumah Second;Rp1,6 M;Ngaglik, Kab. Sleman;5 KT;LT 154m²;LB 320m²;SHM
Rumah Second;Rp750 Jt;Mantrijeron, Kota Yogyakarta;2 KT;LT 119m²;LB 100m²;SHM
Rumah Second;Rp1,9 M;Godean, Kab. Sleman;5 KT;LT 142m²;LB 190m²;SHM
Rumah Second;Rp1,2 M;Godean, Kab. Sleman;3 KT;LT 148m²;LB 90m²;SHM
Rumah Second;Rp1,5 M;Kalasan, Kab. Sleman;4 KT;LT 131m²;LB 120m²;SHM
Rumah Second;Rp460 Jt;Kasihan, Kab. Bantul;3 KT;LT 98m²;LB 60m²;SHM
Rumah Second;Rp1,1 M;Kasihan, Kab. Bantul;3 KT;LT 108m²;LB 80m²;SHM
Rumah Second;Rp1,3 M;Kalasan, Kab. Sleman;4 KT;LT 207m²;LB 160m²;SHM
Rumah Second;Rp650 Jt;Ngemplak, Kab. Sleman;3 KT;LT 104m²;LB 70m²;SHM
Rumah Second;Rp550 Jt;Kalasan, Kab. Sleman;2 KT;LT 89m²;LB 51m²;SHM
Rumah Second;Rp27 Jt;Ngaglik, Kab. Sleman;4 KT;LT 100m²;LB 80m²;SHM
Rumah Second;Rp775 Jt;Kalasan, Kab. Sleman;3 KT;LT 106m²;LB 70m²;SHM
Rumah Second;Rp800 Jt;Gamping, Kab. Sleman;3 KT;LT 123m²;LB 73m²;SHM
Rumah Second;Rp398 Jt;Seyegan, Kab. Sleman;2 KT;LT 107m²;LB 36m²;SHM
Rumah Second;Rp485 Jt;Sewon, Kab. Bantul;2 KT;LT 80m²;LB 45m²;SHM
Rumah Second;Rp800 Jt;Godean, Kab. Sleman;3 KT;LT 123m²;LB 73m²;SHM
Rumah Second;Rp470 Jt;Kasihan, Kab. Bantul;2 KT;LT 80m²;LB 40m²;SHM
Rumah Second;Rp2,6 M;Kalasan, Kab. Sleman;2 KT;LT 354m²;LB 234m²;SHM
Rumah Second;Rp750 Jt;Sleman, Kab. Sleman;2 KT;LT 100m²;LB 50m²;SHM
Rumah Second;Rp597 Jt;Kasihan, Kab. Bantul;2 KT;LT 78m²;LB 45m²;SHM
Rumah Second;Rp220 Jt;Berbah, Kab. Sleman;1 KT;LT 60m²;LB 21m²;SHM
Rumah Second;Rp453 Jt;Kasihan, Kab. Bantul;2 KT;LT 80m²;LB 40m²;SHM
Rumah Second;Rp400 Jt;Prambanan, Kab. Sleman;2 KT;LT 45m²;LB 36m²;SHM
Rumah Second;Rp563 Jt;Kasihan, Kab. Bantul;2 KT;LT 78m²;LB 45m²;SHM
Rumah Second;Rp580 Jt;Kasihan, Kab. Bantul;2 KT;LT 78m²;LB 45m²;SHM
Rumah Second;Rp775 Jt;Ngaglik, Kab. Sleman;2 KT;LT 110m²;LB 54m²;SHM
Rumah Second;Rp490 Jt;Kasihan, Kab. Bantul;2 KT;LT 77m²;LB 45m²;SHM
Rumah Second;Rp550 Jt;Seyegan, Kab. Sleman;2 KT;LT 125m²;LB 80m²;SHM
Rumah Second;Rp625 Jt;Berbah, Kab. Sleman;2 KT;LT 124m²;LB 70m²;SHM
Rumah Second;Rp850 Jt;Semanu, Kab. Gunung Kidul;3 KT;LT 300m²;LB 200m²;SHM
Rumah Second;Rp495 Jt;Mlati, Kab. Sleman;2 KT;LT 112m²;LB 36m²;SHM
Rumah Second;Rp475 Jt;Kasihan, Kab. Bantul;2 KT;LT 77m²;LB 45m²;SHM
Rumah Second;Rp550,1 Jt;Mlati, Kab. Sleman;2 KT;LT 125m²;LB 80m²;SHM
Rumah Second;Rp875 Jt;Ngaglik, Kab. Sleman;3 KT;LT 107m²;LB 70m²;SHM
Rumah Second;Rp750 Jt;Kalasan, Kab. Sleman;3 KT;LT 210m²;LB 170m²;SHM
Rumah Second;Rp660 Jt;Kasihan, Kab. Bantul;3 KT;LT 78m²;LB 104m²;SHM
Rumah Second;Rp375 Jt;Mantrijeron, Kota Yogyakarta;2 KT;LT 80m²;LB 45m²;SHM
Rumah Second;Rp625 Jt;Godean, Kab. Sleman;3 KT;LT 100m²;LB 70m²;SHM
Rumah Second;Rp290 Jt;Bantul, Kab. Bantul;2 KT;LT 60m²;LB 30m²;HGB
Rumah Second;Rp583 Jt;Berbah, Kab. Sleman;2 KT;LT 86m²;LB 46m²;SHM
Rumah Second;Rp650 Jt;Kasihan, Kab. Bantul;3 KT;LT 126m²;LB 108m²;SHM
Rumah Second;Rp525 Jt;Gamping, Kab. Sleman;2 KT;LT 129m²;LB 75m²;SHM
Rumah Second;Rp7,9 M;Umbulharjo, Kota Yogyakarta;6 KT;LT 305m²;LB 280m²;HGB
Rumah Second;Rp2,1 M;Kalasan, Kab. Sleman;4 KT;LT 150m²;LB 160m²;SHM
Rumah Second;Rp1,6 M;Depok, Kab. Sleman;3 KT;LT 151m²;LB 110m²;Tidak Tersedia
Rumah Second;Rp535 Jt;Sleman, Kab. Sleman;3 KT;LT 90m²;LB 60m²;SHM
Rumah Second;Rp275 Jt;Prambanan, Kab. Sleman;2 KT;LT 60m²;LB 40m²;SHM
Rumah Second;Rp750 Jt;Kalasan, Kab. Sleman;3 KT;LT 95m²;LB 80m²;SHM
Rumah Second;Rp680 Jt;Kalasan, Kab. Sleman;3 KT;LT 97m²;LB 65m²;SHM
Rumah Second;Rp5,4 M;Depok, Kab. Sleman;5 KT;LT 482m²;LB 700m²;SHM
Rumah Second;Rp477 Jt;Jetis, Kab. Bantul;2 KT;LT 93m²;LB 60m²;SHM
Rumah Second;Rp520 Jt;Bantul, Kab. Bantul;3 KT;LT 107m²;LB 70m²;SHM
Rumah Second;Rp453 Jt;Sleman, Kab. Sleman;3 KT;LT 88m²;LB 50m²;SHM
Rumah Second;Rp1,8 M;Kalasan, Kab. Sleman;4 KT;LT 630m²;LB 400m²;SHM
Rumah Second;Rp1,8 M;Pakem, Kab. Sleman;2 KT;LT 683m²;LB 300m²;SHM
Rumah Second;Rp6,5 M;Kasihan, Kab. Bantul;5 KT;LT 451m²;LB 650m²;SHM
Rumah Second;Rp6,8 M;Gondokusuman, Kota Yogyakarta;4 KT;LT 450m²;LB 350m²;SHM
Rumah Second;Rp350 Jt;Moyudan, Kab. Sleman;2 KT;LT 60m²;LB 36m²;SHM
Rumah Second;Rp2,5 M;Ngaglik, Kab. Sleman;3 KT;LT 446m²;LB 161m²;SHM
Rumah Second;Rp1,6 M;Gamping, Kab. Sleman;3 KT;LT 120m²;LB 218m²;SHM
Rumah Second;Rp450 Jt;Wirobrajan, Kota Yogyakarta;2 KT;LT 100m²;LB 55m²;SHM
Rumah Second;Rp720 Jt;Ngaglik, Kab. Sleman;2 KT;LT 92m²;LB 51m²;SHM
Rumah Second;Rp350 Jt;Prambanan, Kab. Sleman;2 KT;LT 84m²;LB 36m²;SHM
Rumah Second;Rp3 M;Kasihan, Kab. Bantul;4 KT;LT 262m²;LB 250m²;SHM
Rumah Second;Rp535 Jt;Sleman, Kab. Sleman;3 KT;LT 90m²;LB 55m²;SHM
Rumah Second;Rp299 Jt;Godean, Kab. Sleman;2 KT;LT 60m²;LB 30m²;HGB
Rumah Second;Rp925 Jt;Ngaglik, Kab. Sleman;3 KT;LT 90m²;LB 45m²;SHM
Rumah Second;Rp1,1 M;Ngaglik, Kab. Sleman;3 KT;LT 90m²;LB 72m²;SHM
Rumah Second;Rp3 M;Mantrijeron, Kota Yogyakarta;2 KT;LT 280m²;LB 150m²;SHM
Rumah Second;Rp585 Jt;Kalasan, Kab. Sleman;3 KT;LT 112m²;LB 55m²;SHM
Rumah Second;Rp70 Jt;Wates, Kab. Kulon Progo;2 KT;LT 65m²;LB 30m²;SHM
Rumah Second;Rp810 Jt;Ngemplak, Kab. Sleman;3 KT;LT 124m²;LB 90m²;SHM
Rumah Second;Rp5 M;Ngaglik, Kab. Sleman;6 KT;LT 470m²;LB 320m²;SHM
Rumah Second;Rp1,3 M;Kalasan, Kab. Sleman;5 KT;LT 125m²;LB 150m²;SHM
Rumah Second;Rp4,5 M;Depok, Kab. Sleman;3 KT;LT 551m²;LB 250m²;SHM
Rumah Second;Rp475 Jt;Banguntapan, Kab. Bantul;2 KT;LT 66m²;LB 40m²;SHM
Rumah Second;Rp390 Jt;Mantrijeron, Kota Yogyakarta;2 KT;LT 78m²;LB 71m²;SHM
Rumah Second;Rp650 Jt;Sewon, Kab. Bantul;3 KT;LT 180m²;LB 110m²;SHM
Rumah Second;Rp769 Jt;Mlati, Kab. Sleman;3 KT;LT 130m²;LB 60m²;SHM
Rumah Second;Rp690 Jt;Ngaglik, Kab. Sleman;2 KT;LT 121m²;LB 50m²;SHM
Rumah Second;Rp1,6 M;Ngaglik, Kab. Sleman;3 KT;LT 110m²;LB 128m²;SHM
Rumah Second;Rp2 M;Banguntapan, Kab. Bantul;4 KT;LT 104m²;LB 120m²;SHM
Rumah Second;Rp520 Jt;Kalasan, Kab. Sleman;2 KT;LT 81m²;LB 50m²;SHM
Rumah Second;Rp1,9 M;Ngaglik, Kab. Sleman;6 KT;LT 125m²;LB 140m²;SHM
Rumah Second;Rp1,1 M;Ngemplak, Kab. Sleman;4 KT;LT 120m²;LB 130m²;SHM
Rumah Second;Rp675 Jt;Ngaglik, Kab. Sleman;3 KT;LT 90m²;LB 59m²;SHM
Rumah Second;Rp258 Jt;Berbah, Kab. Sleman;2 KT;LT 70m²;LB 30m²;SHM
Rumah Second;Rp1,6 M;Sewon, Kab. Bantul;4 KT;LT 201m²;LB 150m²;SHM
Rumah Second;Rp725 Jt;Ngaglik, Kab. Sleman;3 KT;LT 99m²;LB 75m²;SHM
Rumah Second;Rp1,1 M;Ngemplak, Kab. Sleman;4 KT;LT 100m²;LB 108m²;SHM
Rumah Second;Rp730 Jt;Kalasan, Kab. Sleman;3 KT;LT 121m²;LB 85m²;SHM
Rumah Second;Rp210 Jt;Sedayu, Kab. Bantul;2 KT;LT 60m²;LB 30m²;SHM
Rumah Second;Rp950 Jt;Gondokusuman, Kota Yogyakarta;3 KT;LT 90m²;LB 66m²;SHM
Rumah Second;Rp455 Jt;Banguntapan, Kab. Bantul;2 KT;LT 75m²;LB 55m²;SHM
Rumah Second;Rp950 Jt;Prambanan, Kab. Sleman;3 KT;LT 118m²;LB 138m²;SHM
Rumah Second;Rp3,8 M;Pakem, Kab. Sleman;5 KT;LT 472m²;LB 220m²;SHM
Rumah Second;Rp735 Jt;Berbah, Kab. Sleman;3 KT;LT 108m²;LB 82m²;SHM
Rumah Second;Rp530 Jt;Seyegan, Kab. Sleman;2 KT;LT 90m²;LB 50m²;SHM
Rumah Second;Rp1,4 M;Ngemplak, Kab. Sleman;4 KT;LT 116m²;LB 140m²;SHM
Rumah Second;Rp560,7 Jt;Kalasan, Kab. Sleman;3 KT;LT 103m²;LB 55m²;SHM
Rumah Second;Rp450 Jt;Banguntapan, Kab. Bantul;2 KT;LT 75m²;LB 40m²;SHM
Rumah Second;Rp535 Jt;Ngemplak, Kab. Sleman;2 KT;LT 80m²;LB 36m²;SHM
Rumah Second;Rp2,3 M;Ngaglik, Kab. Sleman;4 KT;LT 130m²;LB 155m²;SHM
Rumah Second;Rp585 Jt;Kalasan, Kab. Sleman;3 KT;LT 103m²;LB 55m²;SHM
Rumah Second;Rp593 Jt;Depok, Kab. Sleman;2 KT;LT 90m²;LB 36m²;SHM
Rumah Second;Rp555 Jt;Godean, Kab. Sleman;3 KT;LT 105m²;LB 65m²;SHM
Rumah Second;Rp995 Jt;Ngemplak, Kab. Sleman;3 KT;LT 103m²;LB 100m²;SHM
Rumah Second;Rp592 Jt;Kalasan, Kab. Sleman;2 KT;LT 90m²;LB 36m²;SHM
Rumah Second;Rp1,6 M;Depok, Kab. Sleman;3 KT;LT 130m²;LB 130m²;SHM
Rumah Second;Rp995 Jt;Gondokusuman, Kota Yogyakarta;3 KT;LT 103m²;LB 100m²;SHM
Rumah Second;Rp640 Jt;Mlati, Kab. Sleman;2 KT;LT 95m²;LB 50m²;SHM
Rumah Second;Rp899 Jt;Prambanan, Kab. Sleman;4 KT;LT 126m²;LB 176m²;SHM
Rumah Second;Rp1,4 M;Ngaglik, Kab. Sleman;3 KT;LT 161m²;LB 100m²;SHM
Rumah Second;Rp2,7 M;Depok, Kab. Sleman;4 KT;LT 765m²;LB 200m²;SHM
Rumah Second;Rp968 Jt;Godean, Kab. Sleman;3 KT;LT 105m²;LB 60m²;SHM
Rumah Second;Rp1,1 M;Depok, Kab. Sleman;3 KT;LT 118m²;LB 120m²;SHM
Rumah Baru;Rp 260 Jt - Rp 473 Jt;Wonosari, Kab. Gunung Kidul;2 KT;LT 84-120m²;LB 45-60m²;HGB
Rumah Second;Rp680 Jt;Ngaglik, Kab. Sleman;2 KT;LT 91m²;LB 50m²;SHM
Rumah Second;Rp1,3 M;Gamping, Kab. Sleman;3 KT;LT 1120m²;LB 218m²;SHM
Rumah Second;Rp898 Jt;Ngemplak, Kab. Sleman;3 KT;LT 90m²;LB 65m²;SHM
Rumah Second;Rp592 Jt;Kotagede, Kota Yogyakarta;2 KT;LT 90m²;LB 36m²;SHM
Rumah Second;Rp1,4 M;Pakem, Kab. Sleman;2 KT;LT 683m²;LB 500m²;SHM
Rumah Second;Rp27 M;Mantrijeron, Kota Yogyakarta;5 KT;LT 768m²;LB 700m²;SHM
Rumah Second;Rp1,7 M;Depok, Kab. Sleman;3 KT;LT 134m²;LB 200m²;SHM
Rumah Second;Rp1,6 M;Godean, Kab. Sleman;3 KT;LT 100m²;LB 108m²;SHM
Rumah Second;Rp550 Jt;Kasihan, Kab. Bantul;3 KT;LT 91m²;LB 60m²;SHM
Rumah Second;Rp4,5 M;Ngaglik, Kab. Sleman;5 KT;LT 600m²;LB 500m²;SHM
Rumah Second;Rp1 M;Ngaglik, Kab. Sleman;3 KT;LT 114m²;LB 95m²;SHM
Rumah Second;Rp4 M;Kraton, Kota Yogyakarta;7 KT;LT 180m²;LB 240m²;SHM
Rumah Second;Rp1,3 M;Sewon, Kab. Bantul;4 KT;LT 136m²;LB 136m²;SHM
Rumah Second;Rp1,1 M;Banguntapan, Kab. Bantul;4 KT;LT 251m²;LB 80m²;SHM
Rumah Second;Rp2 M;Sewon, Kab. Bantul;3 KT;LT 161m²;LB 200m²;SHM
Rumah Second;Rp775 Jt;Kalasan, Kab. Sleman;3 KT;LT 120m²;LB 70m²;SHM
Rumah Second;Rp1 M;Kalasan, Kab. Sleman;4 KT;LT 112m²;LB 160m²;SHM
Rumah Second;Rp850 Jt;Kalasan, Kab. Sleman;3 KT;LT 149m²;LB 65m²;SHM
Rumah Second;Rp3,3 M;Sleman, Kab. Sleman;4 KT;LT 711m²;LB 255m²;SHM
Rumah Second;Rp593 Jt;Mlati, Kab. Sleman;2 KT;LT 102m²;LB 50m²;SHM
Rumah Second;Rp495,5 Jt;Ngaglik, Kab. Sleman;2 KT;LT 112m²;LB 36m²;SHM
Rumah Second;Rp690 Jt;Banguntapan, Kab. Bantul;3 KT;LT 100m²;LB 60m²;SHM
Rumah Second;Rp2 M;Ngaglik, Kab. Sleman;4 KT;LT 155m²;LB 138m²;SHM
Rumah Second;Rp650 Jt;Sewon, Kab. Bantul;4 KT;LT 107m²;LB 150m²;SHM
Rumah Second;Rp594 Jt;Depok, Kab. Sleman;2 KT;LT 104m²;LB 50m²;SHM
Rumah Second;Rp833 Jt;Gamping, Kab. Sleman;2 KT;LT 108m²;LB 76m²;SHM
Rumah Second;Rp498 Jt;Sleman, Kab. Sleman;2 KT;LT 112m²;LB 36m²;SHM
Rumah Second;Rp1 M;Ngemplak, Kab. Sleman;3 KT;LT 230m²;LB 165m²;SHM
Rumah Second;Rp750 Jt;Depok, Kab. Sleman;2 KT;LT 100m²;LB 50m²;SHM
Rumah Second;Rp390 Jt;Sedayu, Kab. Bantul;2 KT;LT 78m²;LB 40m²;SHM
Rumah Second;Rp1,1 M;Mlati, Kab. Sleman;2 KT;LT 98m²;LB 70m²;SHM
Rumah Second;Rp1,1 M;Imogiri, Kab. Bantul;3 KT;LT 173m²;LB 173m²;SHM
Rumah Second;Rp3,7 M;Kasihan, Kab. Bantul;4 KT;LT 305m²;LB 195m²;SHM
Rumah Second;Rp2 M;Depok, Kab. Sleman;4 KT;LT 271m²;LB 250m²;SHM
Rumah Second;Rp975 Jt;Kasihan, Kab. Bantul;2 KT;LT 207m²;LB 90m²;SHM
Rumah Second;Rp1,4 M;Ngaglik, Kab. Sleman;6 KT;LT 160m²;LB 262m²;SHM
Rumah Second;Rp1,3 M;Umbulharjo, Kota Yogyakarta;3 KT;LT 113m²;LB 120m²;SHM
Rumah Second;Rp2,2 M;Depok, Kab. Sleman;14 KT;LT 193m²;LB 103m²;SHM
Rumah Second;Rp350 Jt;Moyudan, Kab. Sleman;2 KT;LT 36m²;LB 60m²;HGB
Rumah Second;Rp1,7 M;Ngaglik, Kab. Sleman;4 KT;LT 121m²;LB 250m²;SHM
Rumah Second;Rp1,1 M;Banguntapan, Kab. Bantul;5 KT;LT 144m²;LB 200m²;SHM
Rumah Second;Rp6 M;Ngemplak, Kab. Sleman;13 KT;LT 355m²;LB 500m²;SHM
Rumah Second;Rp500 Jt;Kalasan, Kab. Sleman;2 KT;LT 120m²;LB 45m²;SHM
Rumah Second;Rp2,2 M;Ngemplak, Kab. Sleman;3 KT;LT 245m²;LB 200m²;SHM
Rumah Second;Rp985 Jt;Gamping, Kab. Sleman;3 KT;LT 96m²;LB 82m²;SHM
Rumah Second;Rp350 Jt;Pleret, Kab. Bantul;2 KT;LT 36m²;LB 60m²;HGB
Rumah Second;Rp399 Jt;Godean, Kab. Sleman;2 KT;LT 81m²;LB 45m²;SHM
Rumah Second;Rp398 Jt;Sedayu, Kab. Bantul;2 KT;LT 80m²;LB 45m²;SHM
Rumah Second;Rp495 Jt;Ngaglik, Kab. Sleman;1 KT;LT 80m²;LB 36m²;SHM
Rumah Second;Rp2,1 M;Sewon, Kab. Bantul;4 KT;LT 219m²;LB 185m²;SHM
Rumah Second;Rp1,4 M;Ngaglik, Kab. Sleman;3 KT;LT 121m²;LB 100m²;SHM
Rumah Second;Rp500 Jt;Sewon, Kab. Bantul;3 KT;LT 147m²;LB 65m²;SHM
Rumah Second;Rp498 Jt;Mlati, Kab. Sleman;2 KT;LT 112m²;LB 36m²;SHM
Rumah Second;Rp2,6 M;Banguntapan, Kab. Bantul;3 KT;LT 163m²;LB 142m²;SHM
Rumah Second;Rp385 Jt;Kasihan, Kab. Bantul;2 KT;LT 137m²;LB 75m²;SHM
Rumah Second;Rp485 Jt;Bantul, Kab. Bantul;2 KT;LT 83m²;LB 45m²;SHM
Rumah Second;Rp750 Jt;Sewon, Kab. Bantul;4 KT;LT 100m²;LB 95m²;SHM
Rumah Second;Rp1,7 M;Ngemplak, Kab. Sleman;3 KT;LT 119m²;LB 119m²;SHM
Rumah Second;Rp770 Jt;Kalasan, Kab. Sleman;3 KT;LT 141m²;LB 150m²;SHM
Rumah Second;Rp985 Jt;Berbah, Kab. Sleman;3 KT;LT 145m²;LB 85m²;SHM
Rumah Second;Rp545 Jt;Berbah, Kab. Sleman;3 KT;LT 100m²;LB 45m²;SHM
Rumah Second;Rp825 Jt;Gondokusuman, Kota Yogyakarta;3 KT;LT 99m²;LB 66m²;SHM
Rumah Second;Rp375 Jt;Sedayu, Kab. Bantul;2 KT;LT 76m²;LB 36m²;SHM
Rumah Second;Rp3,5 M;Ngaglik, Kab. Sleman;13 KT;LT 232m²;LB 260m²;SHM
Rumah Second;Rp3,2 M;Ngaglik, Kab. Sleman;4 KT;LT 190m²;LB 200m²;SHM
Rumah Second;Rp4,9 M;Ngaglik, Kab. Sleman;5 KT;LT 262m²;LB 300m²;SHM
Rumah Second;Rp785 Jt;Jetis, Kota Yogyakarta;3 KT;LT 110m²;LB 75m²;SHM
Rumah Second;Rp840 Jt;Depok, Kab. Sleman;3 KT;LT 91m²;LB 90m²;SHM
Rumah Second;Rp395 Jt;Bantul, Kab. Bantul;2 KT;LT 80m²;LB 45m²;SHM
Rumah Second;Rp3,2 M;Sleman, Kab. Sleman;5 KT;LT 158m²;LB 180m²;SHM
Rumah Second;Rp600 Jt;Kalasan, Kab. Sleman;2 KT;LT 120m²;LB 55m²;SHM
Rumah Second;Rp550 Jt;Mlati, Kab. Sleman;3 KT;LT 124m²;LB 58m²;SHM
Rumah Second;Rp3,5 M;Ngaglik, Kab. Sleman;6 KT;LT 1038m²;LB 600m²;SHM
Rumah Second;Rp2 M;Kasihan, Kab. Bantul;3 KT;LT 240m²;LB 150m²;SHM
Rumah Second;Rp2,8 M;Tegalrejo, Kota Yogyakarta;3 KT;LT 192m²;LB 111m²;SHM
Rumah Second;Rp3,2 M;Mlati, Kab. Sleman;5 KT;LT 158m²;LB 180m²;SHM
Rumah Second;Rp698 Jt;Kalasan, Kab. Sleman;2 KT;LT 106m²;LB 55m²;SHM
Rumah Second;Rp485 Jt;Gamping, Kab. Sleman;2 KT;LT 90m²;LB 45m²;SHM
Rumah Second;Rp265 Jt;Kasihan, Kab. Bantul;2 KT;LT 60m²;LB 36m²;SHM
Rumah Second;Rp6,8 M;Ngaglik, Kab. Sleman;6 KT;LT 843m²;LB 450m²;SHM
Rumah Second;Rp350 Jt;Moyudan, Kab. Sleman;2 KT;LT 105m²;LB 50m²;SHM
Rumah Second;Rp9,9 M;Depok, Kab. Sleman;4 KT;LT 682m²;LB 150m²;SHM
Rumah Second;Rp463 Jt;Mlati, Kab. Sleman;2 KT;LT 92m²;LB 36m²;SHM
Rumah Second;Rp17 M;Kasihan, Kab. Bantul;20 KT;LT 1250m²;LB 871m²;SHM
Rumah Second;Rp968 Jt;Godean, Kab. Sleman;3 KT;LT 105m²;LB 60m²;HGB
Rumah Second;Rp3,9 M;Kalasan, Kab. Sleman;6 KT;LT 296m²;LB 288m²;SHM
Rumah Second;Rp1,5 M;Depok, Kab. Sleman;3 KT;LT 110m²;LB 80m²;SHM
Rumah Second;Rp575 Jt;Kalasan, Kab. Sleman;3 KT;LT 101m²;LB 80m²;SHM
Rumah Second;Rp2,7 M;Depok, Kab. Sleman;4 KT;LT 150m²;LB 190m²;SHM
