date,type,price,loc,kamar_tidur,luas_tanah,luas_bangunan,sertifikasi
Diperbarui 47 menit lalu,Rumah Second,"Rp2,7 M","Tanjung Priok, Kota Jakarta Utara",3 KT,LT 96m²,LB 200m²,SHM
Diperbarui 47 menit lalu,Rumah Second,"Rp3,5 M","Menteng, Kota Jakarta Pusat",3 KT,LT 175m²,LB 180m²,HGB
Diperbarui 48 menit lalu,Rumah Second,"Rp1,6 M","Cakung, Kota Jakarta Timur",4 KT,LT 145m²,LB 290m²,
Diperbarui 49 menit lalu,Rumah Second,"Rp2,7 M","Cakung, Kota Jakarta Timur",4 KT,LT 160m²,LB 240m²,SHM
Diperbarui 49 menit lalu,Rumah Second,Rp450 Jt,"Jagakarsa, Kota Jakarta Selatan",2 KT,LT 60m²,LB 40m²,SHM
Diperbarui 51 menit lalu,Rumah Second,"Rp1,7 M","Cakung, Kota Jakarta Timur",3 KT,LT 90m²,LB 75m²,SHM
Diperbarui 52 menit lalu,Rumah Second,"Rp2,2 M","Cakung, Kota Jakarta Timur",3 KT,LT 180m²,LB 250m²,HGB
Diperbarui 52 menit lalu,Rumah Second,"Rp4,5 M","Cakung, Kota Jakarta Timur",4 KT,LT 308m²,LB 250m²,SHM
Diperbarui 52 menit lalu,Rumah Second,Rp5 M,"Kemayoran, Kota Jakarta Pusat",9 KT,LT 477m²,LB 700m²,SHM
Diperbarui 52 menit lalu,Rumah Second,"Rp2,7 M","Cakung, Kota Jakarta Timur",4 KT,LT 180m²,LB 180m²,SHM
Diperbarui 52 menit lalu,Rumah Second,"Rp1,6 M","Cakung, Kota Jakarta Timur",3 KT,LT 180m²,LB 180m²,SHM
Diperbarui 53 menit lalu,Rumah Second,"Rp2,8 M","Cakung, Kota Jakarta Timur",4 KT,LT 170m²,LB 127m²,SHM
Diperbarui 55 menit lalu,Rumah Second,Rp2 M,"Tanjung Priok, Kota Jakarta Utara",6 KT,LT 200m²,LB 180m²,HGB
Diperbarui 55 menit lalu,Rumah Second,"Rp2,5 M","Cakung, Kota Jakarta Timur",3 KT,LT 180m²,LB 165m²,
Diperbarui 55 menit lalu,Rumah Second,Rp25 M,"Ciracas, Kota Jakarta Timur",8 KT,LT 2567m²,LB 850m²,SHM
Diperbarui 56 menit lalu,Rumah Second,"Rp2,9 M","Cakung, Kota Jakarta Timur",4 KT,LT 240m²,LB 202m²,SHM
Diperbarui 56 menit lalu,Rumah Second,"Rp9,5 M","Cakung, Kota Jakarta Timur",4 KT,LT 419m²,LB 350m²,
Diperbarui 56 menit lalu,Rumah Second,"Rp3,3 M","Cakung, Kota Jakarta Timur",5 KT,LT 360m²,LB 260m²,SHM
Diperbarui 58 menit lalu,Rumah Second,"Rp2,4 M","Pulogadung (Pulo Gadung), Kota Jakarta Timur",3 KT,LT 80m²,LB 120m²,SHM
Diperbarui 1 jam lalu,Rumah Second,"Rp4,2 M","Kelapa Gading, Kota Jakarta Utara",4 KT,LT 101m²,LB 164m²,SHM
Diperbarui 1 jam lalu,Rumah Second,"Rp2,6 M","Duren Sawit, Kota Jakarta Timur",4 KT,LT 105m²,LB 130m²,SHM
Diperbarui 1 jam lalu,Rumah Second,Rp12 M,"Cempaka Putih, Kota Jakarta Pusat",6 KT,LT 325m²,LB 248m²,SHM
Diperbarui 1 jam lalu,Rumah Second,"Rp5,2 M","Pulogadung (Pulo Gadung), Kota Jakarta Timur",4 KT,LT 184m²,LB 220m²,SHM
Diperbarui 1 jam lalu,Rumah Second,"Rp2,1 M","Cakung, Kota Jakarta Timur",4 KT,LT 180m²,LB 132m²,
Diperbarui 1 jam lalu,Rumah Second,"Rp5,5 M","Tanjung Priok, Kota Jakarta Utara",12 KT,LT 236m²,LB 350m²,SHM
