date,type,price,loc,kamar_tidur,luas_tanah,luas_bangunan,sertifikasi
Diperbarui 4 hari lalu,Rumah Second,Rp14 M,"Kebayoran Baru, Kota Jakarta Selatan",5 KT,LT 276m²,LB 224m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp1,5 M","Kemayoran, Kota Jakarta Pusat",4 KT,LT 56m²,LB 224m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp1,3 M","Pasar Rebo, Kota Jakarta Timur",3 KT,LT 98m²,LB 115m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp2 M,"Kelapa Gading, Kota Jakarta Utara",4 KT,LT 90m²,LB 180m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp5,5 M","Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 118m²,LB 159m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp23 M,"Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 405m²,LB 600m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp19 M,"Kebayoran Lama, Kota Jakarta Selatan",6 KT,LT 270m²,LB 450m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp1,3 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 71m²,LB 100m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp2,2 M","Cengkareng, Kota Jakarta Barat",3 KT,LT 90m²,LB 172m²,HGB
Diperbarui 4 hari lalu,Rumah Second,Rp880 Jt,"Duren Sawit, Kota Jakarta Timur",4 KT,LT 120m²,LB 240m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp16,5 M","Cilandak, Kota Jakarta Selatan",3 KT,LT 420m²,LB 400m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp25 M,"Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 420m²,LB 998m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp7,9 M","Kebayoran Lama, Kota Jakarta Selatan",5 KT,LT 128m²,LB 250m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp19 M,"Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 438m²,LB 319m²,
Diperbarui 4 hari lalu,Rumah Second,"Rp3,6 M","Matraman, Kota Jakarta Timur",7 KT,LT 210m²,LB 350m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp5,7 M","Cakung, Kota Jakarta Timur",5 KT,LT 168m²,LB 259m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp800 Jt,"Pesanggrahan, Kota Jakarta Selatan",2 KT,LT 60m²,LB 37m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp2,4 M","Penjaringan, Kota Jakarta Utara",3 KT,LT 97m²,LB 16m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp35 M,"Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 953m²,LB 646m²,
Diperbarui 4 hari lalu,Rumah Second,Rp34 M,"Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 491m²,LB 525m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp1,4 M","Cakung, Kota Jakarta Timur",4 KT,LT 90m²,LB 69m²,
Diperbarui 4 hari lalu,Rumah Second,"Rp1,3 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 87m²,LB 100m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp17,5 M","Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 264m²,LB 603m²,
Diperbarui 4 hari lalu,Rumah Second,"Rp1,7 M","Tanjung Priok, Kota Jakarta Utara",3 KT,LT 67m²,LB 130m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp5,4 M","Kebayoran Baru, Kota Jakarta Selatan",4 KT,LT 217m²,LB 340m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp975 Jt,"Jagakarsa, Kota Jakarta Selatan",2 KT,LT 60m²,LB 80m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp900 Jt,"Jagakarsa, Kota Jakarta Selatan",3 KT,LT 48m²,LB 90m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp15 M,"Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 271m²,LB 299m²,
Diperbarui 4 hari lalu,Rumah Second,Rp29 M,"Kebon Jeruk, Kota Jakarta Barat",5 KT,LT 625m²,LB 750m²,
Diperbarui 4 hari lalu,Rumah Second,Rp30 M,"Kebayoran Lama, Kota Jakarta Selatan",5 KT,LT 800m²,LB 1000m²,
Diperbarui 4 hari lalu,Rumah Second,"Rp3,1 M","Mampang Prapatan, Kota Jakarta Selatan",4 KT,LT 126m²,LB 225m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp1,7 M","Kalideres, Kota Jakarta Barat",2 KT,LT 90m²,LB 90m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp5,8 M","Pesanggrahan, Kota Jakarta Selatan",6 KT,LT 420m²,LB 180m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp400 Jt,"Cilincing, Kota Jakarta Utara",2 KT,LT 60m²,LB 36m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp40 M,"Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 629m²,LB 900m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp2,8 M","Kelapa Gading, Kota Jakarta Utara",3 KT,LT 120m²,LB 200m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp29 M,"Kebayoran Lama, Kota Jakarta Selatan",5 KT,LT 570m²,LB 550m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp5,5 M","Cilandak, Kota Jakarta Selatan",4 KT,LT 261m²,LB 360m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp5,9 M","Kalideres, Kota Jakarta Barat",5 KT,LT 200m²,LB 465m²,
Diperbarui 4 hari lalu,Rumah Second,"Rp6,5 M","Cengkareng, Kota Jakarta Barat",5 KT,LT 300m²,LB 352m²,
Diperbarui 4 hari lalu,Rumah Second,"Rp4,7 M","Cilandak, Kota Jakarta Selatan",3 KT,LT 220m²,LB 185m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp3 M,"Kalideres, Kota Jakarta Barat",5 KT,LT 96m²,LB 123m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp20 M,"Kebayoran Lama, Kota Jakarta Selatan",6 KT,LT 470m²,LB 400m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp40 M,"Kebayoran Lama, Kota Jakarta Selatan",6 KT,LT 548m²,LB 523m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp45 M,"Kebayoran Lama, Kota Jakarta Selatan",7 KT,LT 914m²,LB 700m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp38 M,"Mampang Prapatan, Kota Jakarta Selatan",6 KT,LT 1066m²,LB 1000m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp1,5 M","Cakung, Kota Jakarta Timur",3 KT,LT 120m²,LB 120m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp50 M,"Kebayoran Lama, Kota Jakarta Selatan",6 KT,LT 629m²,LB 650m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp1,8 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 100m²,LB 130m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp4,3 M","Ciracas, Kota Jakarta Timur",8 KT,LT 300m²,LB 300m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp650 Jt,"Jagakarsa, Kota Jakarta Selatan",3 KT,LT 60m²,LB 60m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp1,7 M","Kramatjati (Kramat Jati), Kota Jakarta Timur",4 KT,LT 98m²,LB 150m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp600 Jt,"Jatinegara, Kota Jakarta Timur",3 KT,LT 60m²,LB 60m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp16,5 M","Pulogadung (Pulo Gadung), Kota Jakarta Timur",5 KT,LT 886m²,LB 600m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp1,7 M","Kramatjati (Kramat Jati), Kota Jakarta Timur",4 KT,LT 98m²,LB 150m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp1,3 M","Cakung, Kota Jakarta Timur",2 KT,LT 90m²,LB 100m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp17 M,"Kebayoran Baru, Kota Jakarta Selatan",4 KT,LT 538m²,LB 350m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp3,6 M","Matraman, Kota Jakarta Timur",4 KT,LT 210m²,LB 350m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp3,8 M","Kebon Jeruk, Kota Jakarta Barat",5 KT,LT 200m²,LB 258m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp37 M,"Cilandak, Kota Jakarta Selatan",5 KT,LT 2570m²,LB 417m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp1,9 M","Pal Merah (Palmerah), Kota Jakarta Barat",5 KT,LT 184m²,LB 250m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp1,7 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 80m²,LB 150m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp795 Jt,"Jagakarsa, Kota Jakarta Selatan",3 KT,LT 38m²,LB 80m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp1,3 M","Cengkareng, Kota Jakarta Barat",3 KT,LT 90m²,LB 150m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp3,9 M","Duren Sawit, Kota Jakarta Timur",5 KT,LT 192m²,LB 178m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp8,5 M","Mampang Prapatan, Kota Jakarta Selatan",4 KT,LT 535m²,LB 250m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp3 M,"Pasar Minggu, Kota Jakarta Selatan",4 KT,LT 134m²,LB 200m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp1,3 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 160m²,LB 150m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp1,8 M","Kebayoran Baru, Kota Jakarta Selatan",3 KT,LT 117m²,LB 117m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp10,8 M","Tebet, Kota Jakarta Selatan",5 KT,LT 250m²,LB 200m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp2,3 M","Cengkareng, Kota Jakarta Barat",3 KT,LT 90m²,LB 150m²,SHM
Diperbarui 4 hari lalu,Rumah Second,Rp1 M,"Jagakarsa, Kota Jakarta Selatan",3 KT,LT 60m²,LB 72m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp8,9 M","Pancoran, Kota Jakarta Selatan",3 KT,LT 310m²,LB 214m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp3,8 M","Kramatjati (Kramat Jati), Kota Jakarta Timur",4 KT,LT 113m²,LB 350m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp5,8 M","Ciracas, Kota Jakarta Timur",5 KT,LT 432m²,LB 375m²,
Diperbarui 4 hari lalu,Rumah Second,"Rp6,5 M","Kelapa Gading, Kota Jakarta Utara",5 KT,LT 170m²,LB 400m²,SHM
Diperbarui 4 hari lalu,Rumah Second,"Rp2,3 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 89m²,LB 210m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp6 M,"Cilandak, Kota Jakarta Selatan",3 KT,LT 144m²,LB 200m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp30 M,"Kebayoran Baru, Kota Jakarta Selatan",9 KT,LT 917m²,LB 1000m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp950 Jt,"Duren Sawit, Kota Jakarta Timur",3 KT,LT 68m²,LB 78m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp4,8 M","Duren Sawit, Kota Jakarta Timur",4 KT,LT 530m²,LB 275m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp728,8 Jt","Jatinegara, Kota Jakarta Timur",2 KT,LT 30m²,LB 55m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp35 M,"Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 405m²,LB 550m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp741,9 Jt","Sawah Besar, Kota Jakarta Pusat",2 KT,LT 25m²,LB 45m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp1,3 M","Kemayoran, Kota Jakarta Pusat",4 KT,LT 50m²,LB 100m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp3,2 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 185m²,LB 180m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp38 M,"Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 548m²,LB 500m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp3,6 M","Pasar Minggu, Kota Jakarta Selatan",4 KT,LT 124m²,LB 200m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp3,9 M","Cipayung, Kota Jakarta Timur",5 KT,LT 228m²,LB 300m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp5,5 M","Tanjung Priok, Kota Jakarta Utara",4 KT,LT 98m²,LB 270m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp2,9 M","Kalideres, Kota Jakarta Barat",4 KT,LT 90m²,LB 180m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp5,3 M","Kebayoran Lama, Kota Jakarta Selatan",6 KT,LT 318m²,LB 320m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp3,7 M","Kelapa Gading, Kota Jakarta Utara",4 KT,LT 120m²,LB 180m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp5,5 M","Tanjung Priok, Kota Jakarta Utara",5 KT,LT 200m²,LB 200m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp7,5 M","Pulogadung (Pulo Gadung), Kota Jakarta Timur",5 KT,LT 252m²,LB 282m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp53 M,"Kebayoran Baru, Kota Jakarta Selatan",4 KT,LT 667m²,LB 800m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp1,6 M","Pasar Minggu, Kota Jakarta Selatan",2 KT,LT 108m²,LB 100m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp5 M,"Tanjung Priok, Kota Jakarta Utara",5 KT,LT 234m²,LB 200m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp3,8 M","Cempaka Putih, Kota Jakarta Pusat",4 KT,LT 245m²,LB 210m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp3,1 M","Kelapa Gading, Kota Jakarta Utara",5 KT,LT 144m²,LB 288m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp5 M,"Tanjung Priok, Kota Jakarta Utara",5 KT,LT 234m²,LB 200m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp3,1 M","Kelapa Gading, Kota Jakarta Utara",5 KT,LT 144m²,LB 288m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp2,5 M","Pasar Rebo, Kota Jakarta Timur",5 KT,LT 180m²,LB 280m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp1,4 M","Pasar Rebo, Kota Jakarta Timur",3 KT,LT 87m²,LB 90m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp1,4 M","Cipayung, Kota Jakarta Timur",3 KT,LT 75m²,LB 72m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp12,5 M","Cilandak, Kota Jakarta Selatan",6 KT,LT 446m²,LB 500m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp3,8 M","Pal Merah (Palmerah), Kota Jakarta Barat",5 KT,LT 295m²,LB 453m²,HGB
Diperbarui 5 hari lalu,Rumah Second,"Rp5,3 M","Kebayoran Lama, Kota Jakarta Selatan",5 KT,LT 318m²,LB 320m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp1,1 M","Penjaringan, Kota Jakarta Utara",2 KT,LT 45m²,LB 54m²,
Diperbarui 5 hari lalu,Rumah Second,"Rp5,8 M","Tanah Abang, Kota Jakarta Pusat",4 KT,LT 126m²,LB 126m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp550 Jt,"Pasar Minggu, Kota Jakarta Selatan",2 KT,LT 32m²,LB 43m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp1,7 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 70m²,LB 140m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp1,1 M","Penjaringan, Kota Jakarta Utara",2 KT,LT 45m²,LB 54m²,
Diperbarui 5 hari lalu,Rumah Second,Rp675 Jt,"Kebayoran Baru, Kota Jakarta Selatan",3 KT,LT 42m²,LB 52m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp1 M,"Jagakarsa, Kota Jakarta Selatan",3 KT,LT 60m²,LB 72m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp950 Jt,"Cipayung, Kota Jakarta Timur",3 KT,LT 57m²,LB 75m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp850 Jt,"Ciracas, Kota Jakarta Timur",2 KT,LT 84m²,LB 60m²,
Diperbarui 5 hari lalu,Rumah Second,Rp20 M,"Pancoran, Kota Jakarta Selatan",6 KT,LT 964m²,LB 401m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp3,9 M","Cempaka Putih, Kota Jakarta Pusat",3 KT,LT 195m²,LB 170m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp2,8 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 255m²,LB 90m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp2,9 M","Jagakarsa, Kota Jakarta Selatan",5 KT,LT 98m²,LB 220m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp2,1 M","Cipayung, Kota Jakarta Timur",3 KT,LT 99m²,LB 93m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp2,6 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 111m²,LB 220m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp8 M,"Pasar Minggu, Kota Jakarta Selatan",4 KT,LT 210m²,LB 350m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp1,9 M","Cakung, Kota Jakarta Timur",5 KT,LT 137m²,LB 110m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp2,6 M","Pancoran, Kota Jakarta Selatan",3 KT,LT 150m²,LB 150m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp3,7 M","Kebon Jeruk, Kota Jakarta Barat",4 KT,LT 105m²,LB 140m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp2,7 M","Pasar Minggu, Kota Jakarta Selatan",9 KT,LT 319m²,LB 250m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp2 M,"Cengkareng, Kota Jakarta Barat",4 KT,LT 104m²,LB 230m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp6,7 M","Taman Sari, Kota Jakarta Barat",6 KT,LT 225m²,LB 284m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp2,2 M","Kalideres, Kota Jakarta Barat",3 KT,LT 105m²,LB 121m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp11 M,"Tanjung Priok, Kota Jakarta Utara",5 KT,LT 342m²,LB 450m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp1,3 M","Kalideres, Kota Jakarta Barat",2 KT,LT 72m²,LB 110m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp19,5 M","Mampang Prapatan, Kota Jakarta Selatan",4 KT,LT 443m²,LB 450m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp9,3 M","Tanjung Priok, Kota Jakarta Utara",4 KT,LT 300m²,LB 550m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp7,3 M","Penjaringan, Kota Jakarta Utara",7 KT,LT 200m²,LB 400m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp9,9 M","Duren Sawit, Kota Jakarta Timur",7 KT,LT 444m²,LB 350m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp795 Jt,"Cipayung, Kota Jakarta Timur",2 KT,LT 46m²,LB 60m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp12,9 M","Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 400m²,LB 310m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp13,5 M","Tebet, Kota Jakarta Selatan",5 KT,LT 578m²,LB 400m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp4 M,"Duren Sawit, Kota Jakarta Timur",4 KT,LT 190m²,LB 350m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp12,5 M","Kalideres, Kota Jakarta Barat",4 KT,LT 320m²,LB 283m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp5,5 M","Jagakarsa, Kota Jakarta Selatan",8 KT,LT 339m²,LB 350m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp2,2 M","Cengkareng, Kota Jakarta Barat",3 KT,LT 120m²,LB 200m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp12 M,"Kebayoran Baru, Kota Jakarta Selatan",4 KT,LT 459m²,LB 600m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp15 M,"Kebayoran Baru, Kota Jakarta Selatan",4 KT,LT 268m²,LB 250m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp2,2 M","Pesanggrahan, Kota Jakarta Selatan",3 KT,LT 185m²,LB 114m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp566 Jt,"Cipayung, Kota Jakarta Timur",2 KT,LT 47m²,LB 50m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp2,4 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 120m²,LB 160m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp11 M,"Kebayoran Baru, Kota Jakarta Selatan",8 KT,LT 293m²,LB 300m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp2,8 M","Pesanggrahan, Kota Jakarta Selatan",4 KT,LT 200m²,LB 230m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp1,7 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 53m²,LB 130m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp1,7 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 53m²,LB 130m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp1,7 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 53m²,LB 130m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp1,7 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 53m²,LB 130m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp41 M,"Kebayoran Lama, Kota Jakarta Selatan",6 KT,LT 712m²,LB 500m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp4,5 M","Kelapa Gading, Kota Jakarta Utara",5 KT,LT 102m²,LB 360m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp1,5 M","Duren Sawit, Kota Jakarta Timur",3 KT,LT 60m²,LB 90m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp7,8 M","Kembangan, Kota Jakarta Barat",4 KT,LT 450m²,LB 400m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp2,7 M","Cakung, Kota Jakarta Timur",6 KT,LT 240m²,LB 360m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp850 Jt,"Pasar Rebo, Kota Jakarta Timur",3 KT,LT 71m²,LB 120m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp2,2 M","Cilincing, Kota Jakarta Utara",4 KT,LT 120m²,LB 149m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp3,7 M","Duren Sawit, Kota Jakarta Timur",4 KT,LT 200m²,LB 280m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp6,8 M","Pesanggrahan, Kota Jakarta Selatan",5 KT,LT 135m²,LB 278m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp2,1 M","Cakung, Kota Jakarta Timur",4 KT,LT 90m²,LB 120m²,
Diperbarui 5 hari lalu,Rumah Second,Rp2 M,"Jagakarsa, Kota Jakarta Selatan",4 KT,LT 66m²,LB 140m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp9,6 M","Kelapa Gading, Kota Jakarta Utara",3 KT,LT 170m²,LB 400m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp1,5 M","Cipayung, Kota Jakarta Timur",3 KT,LT 84m²,LB 100m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp1,5 M","Cipayung, Kota Jakarta Timur",3 KT,LT 84m²,LB 100m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp1,5 M","Cipayung, Kota Jakarta Timur",3 KT,LT 84m²,LB 100m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp1,5 M","Cipayung, Kota Jakarta Timur",3 KT,LT 84m²,LB 100m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp650 Jt,"Ciracas, Kota Jakarta Timur",3 KT,LT 50m²,LB 60m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp1,2 M","Cipayung, Kota Jakarta Timur",2 KT,LT 52m²,LB 60m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp3,9 M","Kelapa Gading, Kota Jakarta Utara",5 KT,LT 105m²,LB 320m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp400 Jt,"Jatinegara, Kota Jakarta Timur",2 KT,LT 76m²,LB 76m²,
Diperbarui 5 hari lalu,Rumah Second,"Rp4,5 M","Kelapa Gading, Kota Jakarta Utara",5 KT,LT 102m²,LB 360m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp4,2 M","Kelapa Gading, Kota Jakarta Utara",3 KT,LT 142m²,LB 142m²,
Diperbarui 5 hari lalu,Rumah Second,"Rp4,6 M","Tanjung Priok, Kota Jakarta Utara",4 KT,LT 144m²,LB 250m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp1,9 M","Cakung, Kota Jakarta Timur",3 KT,LT 102m²,LB 75m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp18 M,"Kebon Jeruk, Kota Jakarta Barat",8 KT,LT 830m²,LB 600m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp1 M,"Jagakarsa, Kota Jakarta Selatan",3 KT,LT 60m²,LB 72m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp1,9 M","Cakung, Kota Jakarta Timur",3 KT,LT 102m²,LB 75m²,SHM
Diperbarui 5 hari lalu,Rumah Second,Rp3 M,"Kelapa Gading, Kota Jakarta Utara",3 KT,LT 107m²,LB 107m²,
Diperbarui 5 hari lalu,Rumah Second,Rp10 M,"Kemayoran, Kota Jakarta Pusat",5 KT,LT 599m²,LB 700m²,HGB
Diperbarui 5 hari lalu,Rumah Second,"Rp5,9 M","Cakung, Kota Jakarta Timur",5 KT,LT 168m²,LB 259m²,SHM
Diperbarui 5 hari lalu,Rumah Second,"Rp5,5 M","Pancoran, Kota Jakarta Selatan",4 KT,LT 136m²,LB 175m²,SHM
