type;price;kamar_tidur;luas_tanah;luas_bangunan;sertifikasi;area;region
Rumah Second;58.0;5.0;717.0;500.0;SHM;Kasihan; Kab. Bantul
Rumah Second;385.0;2.0;90.0;50.0;SHM;Pajangan; Kab. Bantul
Rumah Second;14.0;3.0;77.0;100.0;SHM;Kalasan; Kab. Sleman
Rumah Second;925.0;4.0;120.0;130.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;699.0;11.0;135.0;150.0;SHM;Depok; Kab. Sleman
Rumah Second;245.0;2.0;75.0;36.0;SHM;Kalasan; Kab. Sleman
Rumah Second;799.0;3.0;126.0;90.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;15.0;3.0;110.0;80.0;SHM;Ngemplak; Kab. Sleman
Rumah Second;799.0;3.0;120.0;85.0;SHM;Ngemplak; Kab. Sleman
Rumah Second;22.0;5.0;150.0;336.0;SHM;Gamping; Kab. Sleman
Rumah Second;760.0;3.0;109.0;100.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;430.0;2.0;81.0;36.0;SHM;Sedayu; Kab. Bantul
Rumah Second;600.0;2.0;112.0;40.0;SHM;Kasihan; Kab. Bantul
Rumah Second;19.0;3.0;240.0;100.0;SHM;Pakem; Kab. Sleman
Rumah Second;14.0;3.0;201.0;201.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;14.0;3.0;77.0;100.0;SHM;Sleman; Kab. Sleman
Rumah Second;367.0;2.0;60.0;36.0;SHM;Godean; Kab. Sleman
Rumah Second;14.0;18.0;450.0;300.0;SHM;Umbulharjo; Kota Yogyakarta
Rumah Baru;200.0;2.0;64.0;39.0;HGB;Patuk; Kab. Gunung Kidul
Rumah Second;25.0;4.0;190.0;190.0;SHM;Ngaglik; Kab. Sleman
Rumah Baru;130.0;2.0;60.0;30.0;HGB;Playen; Kab. Gunung Kidul
Rumah Second;220.0;1.0;60.0;21.0;SHM;Prambanan; Kab. Sleman
Rumah Second;425.0;2.0;100.0;70.0;SHM;Seyegan; Kab. Sleman
Rumah Second;515.0;2.0;107.0;43.0;SHM;Kalasan; Kab. Sleman
Rumah Second;18.0;5.0;240.0;240.0;SHM;Godean; Kab. Sleman
Rumah Second;550.0;2.0;100.0;45.0;SHM;Gamping; Kab. Sleman
Rumah Second;695.0;3.0;91.0;64.0;SHM;Kotagede; Kota Yogyakarta
Rumah Second;38.0;6.0;1038.0;600.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;500.0;2.0;103.0;90.0;SHM;Kalasan; Kab. Sleman
Rumah Second;16.0;4.0;184.0;240.0;SHM;Depok; Kab. Sleman
Rumah Second;425.0;2.0;100.0;36.0;SHM;Patuk; Kab. Gunung Kidul
Rumah Second;655.0;3.0;158.0;90.0;SHM;Berbah; Kab. Sleman
Rumah Second;68.0;6.0;843.0;340.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;685.0;3.0;107.0;46.0;SHM;Depok; Kab. Sleman
Rumah Second;19.0;3.0;126.0;120.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;17.0;3.0;232.0;255.0;SHM;Mantrijeron; Kota Yogyakarta
Rumah Second;385.0;2.0;64.0;40.0;SHM;Kasihan; Kab. Bantul
Rumah Second;39.0;9.0;330.0;400.0;SHM;Banguntapan; Kab. Bantul
Rumah Second;650.0;8.0;111.0;111.0;SHM;Gamping; Kab. Sleman
Rumah Second;950.0;2.0;65.0;106.0;SHM;Mlati; Kab. Sleman
Rumah Second;550.0;3.0;111.0;222.0;SHM;Pundong; Kab. Bantul
Rumah Second;900.0;4.0;190.0;170.0;SHM;Kalasan; Kab. Sleman
Rumah Second;12.0;5.0;170.0;260.0;SHM;Umbulharjo; Kota Yogyakarta
Rumah Second;11.0;2.0;109.0;109.0;SHM;Depok; Kab. Sleman
Rumah Second;500.0;2.0;103.0;95.0;SHM;Kalasan; Kab. Sleman
Rumah Second;900.0;3.0;130.0;80.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;630.0;4.0;150.0;130.0;SHM;Gamping; Kab. Sleman
Rumah Second;23.0;3.0;249.0;117.0;SHM;Godean; Kab. Sleman
Rumah Second;490.0;2.0;84.0;45.0;SHM;Sedayu; Kab. Bantul
Rumah Second;29.0;4.0;134.0;154.0;SHM;Gamping; Kab. Sleman
Rumah Second;582.0;2.0;85.0;46.0;SHM;Berbah; Kab. Sleman
Rumah Second;15.0;3.0;104.0;120.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;48.0;4.0;252.0;250.0;HGB;Mlati; Kab. Sleman
Rumah Second;2.0;2.0;174.0;100.0;SHM;Mlati; Kab. Sleman
Rumah Second;15.0;4.0;131.0;175.0;SHM;Kalasan; Kab. Sleman
Rumah Second;495.0;2.0;97.0;50.0;SHM;Banguntapan; Kab. Bantul
Rumah Second;410.0;3.0;105.0;105.0;SHM;Kasihan; Kab. Bantul
Rumah Second;12.0;4.0;170.0;102.0;SHM;Kalasan; Kab. Sleman
Rumah Second;399.0;2.0;82.0;45.0;SHM;Sedayu; Kab. Bantul
Rumah Second;22.0;3.0;133.0;95.0;SHM;Kasihan; Kab. Bantul
Rumah Second;725.0;3.0;72.0;130.0;SHM;Sedayu; Kab. Bantul
Rumah Second;535.0;2.0;80.0;36.0;SHM;Depok; Kab. Sleman
Rumah Second;710.0;2.0;88.0;47.0;HGB;Godean; Kab. Sleman
Rumah Second;12.0;3.0;110.0;125.0;SHM;Prambanan; Kab. Sleman
Rumah Second;825.0;3.0;99.0;66.0;SHM;Depok; Kab. Sleman
Rumah Second;875.0;3.0;131.0;70.0;SHM;Mlati; Kab. Sleman
Rumah Second;18.0;3.0;150.0;104.0;SHM;Ngemplak; Kab. Sleman
Rumah Second;23.0;4.0;150.0;250.0;SHM;Godean; Kab. Sleman
Rumah Second;11.0;3.0;107.0;110.0;SHM;Prambanan; Kab. Sleman
Rumah Second;815.0;3.0;110.0;75.0;SHM;Sleman; Kab. Sleman
Rumah Second;815.0;3.0;112.0;75.0;SHM;Mlati; Kab. Sleman
Rumah Second;15.0;4.0;128.0;250.0;SHM;Kasihan; Kab. Bantul
Rumah Second;11.0;3.0;160.0;110.0;SHM;Depok; Kab. Sleman
Rumah Second;430.0;2.0;36.0;81.0;SHM;Sedayu; Kab. Bantul
Rumah Second;13.0;3.0;80.0;120.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;655.0;2.0;107.0;36.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;465.0;2.0;92.0;36.0;SHM;Sleman; Kab. Sleman
Rumah Second;800.0;3.0;131.0;150.0;SHM;Kalasan; Kab. Sleman
Rumah Second;489.0;2.0;92.0;36.0;SHM;Mlati; Kab. Sleman
Rumah Second;46.0;5.0;202.0;250.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;25.0;3.0;176.0;170.0;SHM;Ngemplak; Kab. Sleman
Rumah Second;250.0;2.0;25.0;88.0;SHM;Depok; Kab. Sleman
Rumah Second;785.0;3.0;112.0;75.0;SHM;Tegalrejo; Kota Yogyakarta
Rumah Second;45.0;6.0;319.0;405.0;SHM;Ngemplak; Kab. Sleman
Rumah Second;785.0;3.0;112.0;75.0;SHM;Gamping; Kab. Sleman
Rumah Second;16.0;3.0;88.0;120.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;839.0;2.0;91.0;45.0;SHM;Gamping; Kab. Sleman
Rumah Second;14.0;3.0;104.0;120.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;585.0;3.0;126.0;75.0;SHM;Bantul; Kab. Bantul
Rumah Second;785.0;3.0;108.0;60.0;SHM;Seyegan; Kab. Sleman
Rumah Second;45.0;6.0;319.0;405.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;650.0;3.0;121.0;85.0;SHM;Kalasan; Kab. Sleman
Rumah Second;495.0;2.0;112.0;36.0;SHM;Jetis; Kota Yogyakarta
Rumah Second;23.0;5.0;120.0;150.0;SHM;Sewon; Kab. Bantul
Rumah Second;12.0;4.0;105.0;95.0;SHM;Banguntapan; Kab. Bantul
Rumah Second;5415.0;2.0;120.0;36.0;SHM;Mlati; Kab. Sleman
